Wavelength,Responsivity,Wavelength,,,,,
nm,A/W,nm,,,,,
,APD440A2,,,,,,
"202,190487196106","3,90657286521145",200,-1,-1,-1,-1,-1
"205,573373244958","3,9524357266969",201,-1,-1,-1,-1,-1
"207,329871770323","4,0441614496678",202,-1,-1,-1,-1,-1
"209,086370295688","4,11295574189598",203,-1,-1,-1,-1,-1
"210,712757819174","4,25054432635234",204,-1,-1,-1,-1,-1
"212,859589350176","4,3789603385116",205,-1,-1,-1,-1,-1
"214,225754869905","4,54865292600777",206,-1,-1,-1,-1,-1
"215,201587383997","4,65872379357286",207,-1,-1,-1,-1,-1
"216,958085909362","4,77338094728649",208,-1,-1,-1,-1,-1
"218,259195928151","4,86969295640594",209,-1,-1,-1,-1,-1
"219,625361447879","4,98893639626812",210,-1,-1,-1,-1,-1
"220,536138461032","5,13111126687302",211,-1,-1,-1,-1,-1
"221,446915474184","5,2916312820721",212,-1,-1,-1,-1,-1
"222,487803489215","5,42921986652845",213,-1,-1,-1,-1,-1
"223,593747005186","5,56222216483627",214,-1,-1,-1,-1,-1
"225,024968025854","5,75943246922371",215,-1,-1,-1,-1,-1
"226,521244547461","5,96581534590824",216,-1,-1,-1,-1,-1
"228,668076078463","6,20430222563259",217,-1,-1,-1,-1,-1
"230,424574603829","6,39692624387149",218,-1,-1,-1,-1,-1
"231,530518119799","6,58496397596184",219,-1,-1,-1,-1,-1
"233,091850142346","6,78217428034929",220,-1,-1,-1,-1,-1
"233,091850142346","7,09862802459891",221,-1,-1,-1,-1,-1
"233,87251615362","7,25914803979799",222,-1,-1,-1,-1,-1
"236,084403185561","7,34170119047181",223,-1,-1,-1,-1,-1
"237,645735208108","7,49763491952234",224,-1,-1,-1,-1,-1
"239,402233733473","7,65815493472142",225,-1,-1,-1,-1,-1
"240,89851025508","7,79115723302924",226,-1,-1,-1,-1,-1
"242,589953279506","7,92415953133704",227,-1,-1,-1,-1,-1
"244,151285302053","8,0617481157934",228,-1,-1,-1,-1,-1
"246,102950330237","8,18557784180413",229,-1,-1,-1,-1,-1
"248,184726360299","8,29564870936921",230,-1,-1,-1,-1,-1
"249,941224885664","8,30023499551776",231,-1,-1,-1,-1,-1
"254,560165452366","8,31858014011193",232,-1,-1,-1,-1,-1
"257,032274488065","8,26813099247794",233,-1,-1,-1,-1,-1
"260,350105035977","8,14430126646722",234,-1,-1,-1,-1,-1
"261,976492559463","7,99754010971377",235,-1,-1,-1,-1,-1
"262,106603561342","7,73153551309815",236,-1,-1,-1,-1,-1
"262,561992067918","7,56184292560198",237,-1,-1,-1,-1,-1
"263,732991084828","7,41508176884853",238,-1,-1,-1,-1,-1
"265,164212105496","7,27749318439217",239,-1,-1,-1,-1,-1
"266,855655129922","7,19494003371836",240,-1,-1,-1,-1,-1
"268,416987152469","7,04359259081636",241,-1,-1,-1,-1,-1
"269,718097171258","6,87848628946874",242,-1,-1,-1,-1,-1
"274,402093238899","6,7730017080522",243,-1,-1,-1,-1,-1
"277,394646282114","6,72713884656675",244,-1,-1,-1,-1,-1
"281,232920837541","6,72713884656675",245,-1,-1,-1,-1,-1
"284,290529381695","6,85096857257747",246,-1,-1,-1,-1,-1
"286,827693918334","7,00231601547946",247,-1,-1,-1,-1,-1
